Cognitive_Complexity_Rating,Direct_Link,Grader,Identifier,Language,Schoology_Standard,Standard_New,Strand,Subject,cPalms_Standard,cluster,description,lastChangeDateTime,rundate,Custom.CleanedDescription,uniquesID
,https://www.cpalms.org/Public/ims/case/v1p0/CFDocuments/24a98ac7-8878-4212-a321-94b9890bca02.json,Kindergarten,11cc2b67-8bad-44d4-bb62-d37ecb91f432,en_us,VA.K.H.2.1,1,Historical and Global Connections,Visual Art,H.2.1,"The arts reflect and document cultural trends and historical events, and help explain how new directions in the arts have emerged.",Compare selected artworks from various cultures to find differences and similarities.,12/29/2010 5:30:16 AM,2024-09-06,Compare selected artworks from various cultures to find differences and similarities.,11cc2b67-8bad-44d4-bb62-d37ecb91f432_VA.K.H.2.1
,https://www.cpalms.org/Public/ims/case/v1p0/CFDocuments/24a98ac7-8878-4212-a321-94b9890bca02.json,Grade 1,11e02b67-8bad-44d4-bb62-d37ecb91f432,en_us,VA.1.S.3.1,1,"Skills, Techniques, and Processes",Visual Art,S.3.1,"Through purposeful practice, artists learn to manage, master, and refine simple, then complex, skills and techniques.",Practice skills and techniques to create with two- and/or three-dimensional media.,12/29/2010 5:30:16 AM,2024-09-06,Practice skills and techniques to create with two- and/or three-dimensional media.,11e02b67-8bad-44d4-bb62-d37ecb91f432_VA.1.S.3.1
,https://www.cpalms.org/Public/ims/case/v1p0/CFDocuments/24a98ac7-8878-4212-a321-94b9890bca02.json,Grade 2,11fe2b67-8bad-44d4-bb62-d37ecb91f432,en_us,VA.2.S.2.1,1,"Skills, Techniques, and Processes",Visual Art,S.2.1,"Development of skills, techniques, and processes in the arts strengthens our ability to remember, focus on, process, and sequence information.","Develop artistic skills through repeated experiences with art media, techniques, processes, and tools.",12/29/2010 5:30:16 AM,2024-09-06,"Develop artistic skills through repeated experiences with art media, techniques, processes, and tools.",11fe2b67-8bad-44d4-bb62-d37ecb91f432_VA.2.S.2.1
,https://www.cpalms.org/Public/ims/case/v1p0/CFDocuments/24a98ac7-8878-4212-a321-94b9890bca02.json,Grade 2,120d2b67-8bad-44d4-bb62-d37ecb91f432,en_us,VA.2.F.1.1,1,"Innovation, Technology, and the Future",Visual Art,F.1.1,"Creating, interpreting, and responding in the arts stimulate the imagination and encourage innovation and creative risk-taking.",Use imagination to create unique artwork incorporating personal ideas and selected media.,12/29/2010 5:30:16 AM,2024-09-06,Use imagination to create unique artwork incorporating personal ideas and selected media.,120d2b67-8bad-44d4-bb62-d37ecb91f432_VA.2.F.1.1
,https://www.cpalms.org/Public/ims/case/v1p0/CFDocuments/24a98ac7-8878-4212-a321-94b9890bca02.json,Grade 3,121f2b67-8bad-44d4-bb62-d37ecb91f432,en_us,VA.3.S.2.1,1,"Skills, Techniques, and Processes",Visual Art,S.2.1,"Development of skills, techniques, and processes in the arts strengthens our ability to remember, focus on, process, and sequence information.",Integrate the structural elements of art and organizational principles of design with sequential procedures and techniques to achieve an artistic goal.,12/29/2010 5:30:16 AM,2024-09-06,Integrate the structural elements of art and organizational principles of design with sequential procedures and techniques to achieve an artistic goal.,121f2b67-8bad-44d4-bb62-d37ecb91f432_VA.3.S.2.1
