cube_table,drift_kind,school_name,subject_id,item_id,item_name,subject,grade,cube_students,replay_students,cube_score,replay_score,cube_grade_avg,replay_grade_avg,id_hash_mismatch
cube_grade_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,685d58d64f3e9df29c19cb3cd82479a5d13aab49c93aae4f3703a64cfdb9120c,7893373621,Chapter 2,Math,Grade 1,,,,,,0.729535,f
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,685d58d64f3e9df29c19cb3cd82479a5d13aab49c93aae4f3703a64cfdb9120c,7893373621,Chapter 2,Math,Grade 1,,,,,0.729535,,t
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,69f84f043bcac55206c6b1c01aa2835e2dd1fab62ee36b8903b4f27cba8813d7,,12/9 Reading Classwork,ELA,Grade 4,,,,,0.833333,,t
cube_grade_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,69f84f043bcac55206c6b1c01aa2835e2dd1fab62ee36b8903b4f27cba8813d7,,12/9 Reading Classwork,ELA,Grade 4,,,,,0.800000,0.831579,f
cube_grade_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,69f84f043bcac55206c6b1c01aa2835e2dd1fab62ee36b8903b4f27cba8813d7,7625528258,12/9 Reading Classwork,ELA,Grade 4,,,,,,0.833333,f
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,69f84f043bcac55206c6b1c01aa2835e2dd1fab62ee36b8903b4f27cba8813d7,7625528258,12/9 Reading Classwork,ELA,Grade 4,,,,,0.833333,,t
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,7b61b1fce534a45fdae58c2a2e449d9a0a514ffa01add688ca260b1ce0684f2d,,M4W2 Vocabulary Quiz,ELA,Grade 5,,,,,0.956790,,t
cube_grade_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,7b61b1fce534a45fdae58c2a2e449d9a0a514ffa01add688ca260b1ce0684f2d,,M4W2 Vocabulary Quiz,ELA,Grade 5,,,,,0.988889,0.973684,f
cube_grade_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,7b61b1fce534a45fdae58c2a2e449d9a0a514ffa01add688ca260b1ce0684f2d,7598715892,M4W2 Vocabulary Quiz,ELA,Grade 5,,,,,,0.956790,f
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,7b61b1fce534a45fdae58c2a2e449d9a0a514ffa01add688ca260b1ce0684f2d,7598715892,M4W2 Vocabulary Quiz,ELA,Grade 5,,,,,0.956790,,t
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,7f89cc611e5d6b8a4772e76b726afa45668f5f3edb1a668746967c7cc7c0db0f,,Meet in the Middle: Weekly Assessment: Week 1,ELA,Grade 2,,,,,0.704098,,t
cube_grade_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,7f89cc611e5d6b8a4772e76b726afa45668f5f3edb1a668746967c7cc7c0db0f,,Meet in the Middle: Weekly Assessment: Week 1,ELA,Grade 2,,,,,0.735653,0.725944,f
cube_grade_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,7f89cc611e5d6b8a4772e76b726afa45668f5f3edb1a668746967c7cc7c0db0f,7334679341,Meet in the Middle: Weekly Assessment: Week 1,ELA,Grade 2,,,,,,0.704098,f
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,7f89cc611e5d6b8a4772e76b726afa45668f5f3edb1a668746967c7cc7c0db0f,7334679341,Meet in the Middle: Weekly Assessment: Week 1,ELA,Grade 2,,,,,0.704098,,t
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,a868cdad50d1254dadf0d67737d23709876629af79045768e4ae5197c54c8d98,,Module 8 Week 1 Vocabulary Quiz,ELA,Grade 2,,,,,0.862500,,t
cube_grade_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,a868cdad50d1254dadf0d67737d23709876629af79045768e4ae5197c54c8d98,,Module 8 Week 1 Vocabulary Quiz,ELA,Grade 2,,,,,0.913194,0.895089,f
cube_grade_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,a868cdad50d1254dadf0d67737d23709876629af79045768e4ae5197c54c8d98,8336110460,Module 8 Week 1 Vocabulary Quiz,ELA,Grade 2,,,,,,0.862500,f
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,a868cdad50d1254dadf0d67737d23709876629af79045768e4ae5197c54c8d98,8336110460,Module 8 Week 1 Vocabulary Quiz,ELA,Grade 2,,,,,0.862500,,t
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,ab9ccf412f84fd6481413b961c8dd491767e0de24845aff4a588d3a793dff593,,12/09 8.6 Homework,Math,Grade 4,,,,,0.646617,,t
cube_grade_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,ab9ccf412f84fd6481413b961c8dd491767e0de24845aff4a588d3a793dff593,,12/09 8.6 Homework,Math,Grade 4,,,,,0.777778,0.710425,f
cube_grade_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,ab9ccf412f84fd6481413b961c8dd491767e0de24845aff4a588d3a793dff593,7624644120,12/09 8.6 Homework,Math,Grade 4,,,,,,0.646617,f
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,ab9ccf412f84fd6481413b961c8dd491767e0de24845aff4a588d3a793dff593,7624644120,12/09 8.6 Homework,Math,Grade 4,,,,,0.646617,,t
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,,Chapter 16,Math,Grade 2,,,,,0.895275,,t
cube_grade_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,,Chapter 16,Math,Grade 2,,,,,0.895139,0.895236,f
cube_grade_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,7687663925,Chapter 16,Math,Grade 2,,,,,,0.900985,f
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,7687663925,Chapter 16,Math,Grade 2,,,,,0.900985,,t
cube_grade_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,7687678128,Chapter 16,Math,Grade 2,,,,,,0.890136,f
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,7687678128,Chapter 16,Math,Grade 2,,,,,0.890136,,t
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,d33b643b72c6fcb9297c4b32a1e450cd6c75ea742c06b872b9a3a2d4783cde75,,12/05 8.4 Homework,Math,Grade 4,,,,,0.537420,,t
