cube,kind,school_id,subject_id,item_id,cube_id_hash_mismatch,cube_students,fact_students,cube_questions,fact_questions,cube_possible,fact_possible,cube_score,fact_score,school_name,item_name,subject,grade
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,2d13c6b9ee88333b837d57eda60e063f4fe154254e914f9a543301178f723fb8,7613842590,t,19,,3,,76.0000,,62.5000,,Athenian Academy of Technology and the Arts,12/5 Reading Classwork,ELA,Grade 4
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,3b783afe7d3956fcd19dafa6ad0feececa7b2cabcb31a0ed68daef9b10db5377,,t,20,,20,,618.0000,,516.0000,,Athenian Academy of Technology and the Arts,,Math,Grade 5
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,3b783afe7d3956fcd19dafa6ad0feececa7b2cabcb31a0ed68daef9b10db5377,7702555934,t,20,,20,,618.0000,,516.0000,,Athenian Academy of Technology and the Arts,Chapter 18,Math,Grade 5
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,5e80a05c31bd43ba9d7fdab5bbd4a8051c7db2a1efbc9aacb0f6d723d4721f19,,t,17,,12,,475.0000,,324.0000,,Athenian Academy of Technology and the Arts,,Math,Grade 1
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,5e80a05c31bd43ba9d7fdab5bbd4a8051c7db2a1efbc9aacb0f6d723d4721f19,8346484076,t,17,,12,,475.0000,,324.0000,,Athenian Academy of Technology and the Arts,Classwork End of Year Test,Math,Grade 1
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,624e89a8f7bc9b0ed781a8f4fe30316afc70591b633db10549fce4ab1e94e5c8,,t,17,,8,,136.0000,,116.0000,,Athenian Academy of Technology and the Arts,,Math,Grade 3
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,624e89a8f7bc9b0ed781a8f4fe30316afc70591b633db10549fce4ab1e94e5c8,7637896011,t,17,,8,,136.0000,,116.0000,,Athenian Academy of Technology and the Arts,Adding and Subtracting Money - 12/16/24,Math,Grade 3
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,685d58d64f3e9df29c19cb3cd82479a5d13aab49c93aae4f3703a64cfdb9120c,,t,20,,21,,874.0000,,639.3334,,Athenian Academy of Technology and the Arts,,Math,Grade 1
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,685d58d64f3e9df29c19cb3cd82479a5d13aab49c93aae4f3703a64cfdb9120c,7893373621,t,20,,21,,874.0000,,639.3334,,Athenian Academy of Technology and the Arts,Chapter 2,Math,Grade 1
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,69f84f043bcac55206c6b1c01aa2835e2dd1fab62ee36b8903b4f27cba8813d7,,t,18,,5,,90.0000,,75.0000,,Athenian Academy of Technology and the Arts,,ELA,Grade 4
