finding,school,key1,key2,detail1,detail2,detail3
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.2.P.13.1,"",n_ukeys=12,n_missing_cqso=1,avg_shipped=0.7553 avg_correct=0.8240
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.2.P.13.3,"",n_ukeys=3,n_missing_cqso=1,avg_shipped=0.4788 avg_correct=0.7182
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.2.P.8.1,"",n_ukeys=14,n_missing_cqso=2,avg_shipped=0.8228 avg_correct=0.9599
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.4.L.17.2,"",n_ukeys=10,n_missing_cqso=4,avg_shipped=0.4082 avg_correct=0.6803
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.4.L.17.4,"",n_ukeys=14,n_missing_cqso=2,avg_shipped=0.4797 avg_correct=0.5597
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.5.P.13.4,"",n_ukeys=5,n_missing_cqso=1,avg_shipped=0.5421 avg_correct=0.6776
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.6.E.6.1,"",n_ukeys=5,n_missing_cqso=4,avg_shipped=0.0907 avg_correct=0.4537
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.6.E.7.3,"",n_ukeys=13,n_missing_cqso=2,avg_shipped=0.6273 avg_correct=0.7414
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.6.E.7.4,"",n_ukeys=17,n_missing_cqso=3,avg_shipped=0.6000 avg_correct=0.7286
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.6.E.7.5,"",n_ukeys=11,n_missing_cqso=2,avg_shipped=0.5917 avg_correct=0.7232
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.6.L.14.3,"",n_ukeys=2,n_missing_cqso=1,avg_shipped=0.4375 avg_correct=0.8750
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.6.L.15.1,"",n_ukeys=10,n_missing_cqso=2,avg_shipped=0.7096 avg_correct=0.8870
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.6.N.3.4,"",n_ukeys=11,n_missing_cqso=3,avg_shipped=0.4758 avg_correct=0.6543
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.7.E.6.1,"",n_ukeys=6,n_missing_cqso=3,avg_shipped=0.4316 avg_correct=0.8632
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.7.E.6.2,"",n_ukeys=17,n_missing_cqso=2,avg_shipped=0.6110 avg_correct=0.6925
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.7.E.6.5,"",n_ukeys=17,n_missing_cqso=3,avg_shipped=0.5913 avg_correct=0.7180
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.7.L.15.2,"",n_ukeys=10,n_missing_cqso=1,avg_shipped=0.8273 avg_correct=0.9192
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.7.L.15.3,"",n_ukeys=4,n_missing_cqso=1,avg_shipped=0.5951 avg_correct=0.7935
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.7.L.16.3,"",n_ukeys=2,n_missing_cqso=1,avg_shipped=0.4750 avg_correct=0.9500
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.7.L.17.1,"",n_ukeys=11,n_missing_cqso=3,avg_shipped=0.6309 avg_correct=0.8675
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.7.L.17.2,"",n_ukeys=5,n_missing_cqso=1,avg_shipped=0.6761 avg_correct=0.8451
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.7.N.1.1,"",n_ukeys=8,n_missing_cqso=2,avg_shipped=0.5766 avg_correct=0.7688
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.7.N.3.1,"",n_ukeys=2,n_missing_cqso=1,avg_shipped=0.3790 avg_correct=0.7581
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.7.P.11.1,"",n_ukeys=22,n_missing_cqso=4,avg_shipped=0.7858 avg_correct=0.9604
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.8.N.1.1,"",n_ukeys=7,n_missing_cqso=1,avg_shipped=0.6042 avg_correct=0.7049
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.8.P.8.1,"",n_ukeys=10,n_missing_cqso=1,avg_shipped=0.8083 avg_correct=0.8981
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.8.P.8.2,"",n_ukeys=9,n_missing_cqso=1,avg_shipped=0.7704 avg_correct=0.8667
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.912.E.5.2,"",n_ukeys=5,n_missing_cqso=1,avg_shipped=0.5367 avg_correct=0.6708
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.912.E.5.6,"",n_ukeys=18,n_missing_cqso=5,avg_shipped=0.4753 avg_correct=0.6581
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.912.N.3.5,"",n_ukeys=16,n_missing_cqso=4,avg_shipped=0.5768 avg_correct=0.7691
