school,schoology_standard,num_ukeys,missing_ukeys,shipped_pct,correct_pct,understated_pp
Athenian Academy of Technology and the Arts,MA.8.AR.2.2,2,1,46.00,92.00,46.00
Crestwell School,MA.1.AR.2.1,5,3,30.62,76.55,45.93
Central Florida Preparatory School,MA.7.DP.1.2,7,4,34.31,80.05,45.74
Crestwell School,MA.3.AR.3,10,5,45.73,91.47,45.74
Athenian Academy of Technology and the Arts,MA.2.GR.1.2,8,4,45.72,91.44,45.72
Athenian Academy of Technology and the Arts,SS.6.W.2.4,34,19,36.01,81.63,45.62
Athenian Academy of Technology and the Arts,MA.8.AR.1.1,11,7,25.54,70.23,44.69
Athenian Academy of Technology and the Arts,MAFS.8.EE.1.1,11,7,25.54,70.23,44.69
Athenian Academy of Technology and the Arts,MA.8.NSO.1.3,11,7,25.54,70.23,44.69
Athenian Academy of Technology and the Arts,MA.912.AR.6.6,31,15,47.47,91.98,44.51
Athenian Academy of Technology and the Arts,MA.3.NSO.1.1,40,20,44.00,88.00,44.00
Crestwell School,MA.2.AR.1.1,14,8,32.89,76.74,43.85
Central Florida Preparatory School,SC.6.L.14.3,2,1,43.75,87.50,43.75
Athenian Academy of Technology and the Arts,SOC.8.SS.8.A.5.2,30,18,29.01,72.53,43.52
Athenian Academy of Technology and the Arts,SS.6.G.2.1,69,38,35.46,78.94,43.48
Central Florida Preparatory School,SC.7.E.6.1,6,3,43.16,86.32,43.16
Athenian Academy of Technology and the Arts,MA.5.GR.1.2,12,6,42.94,85.87,42.93
Athenian Academy of Technology and the Arts,MA.6.MAFS.6.NS.2.2,4,2,42.87,85.74,42.87
Athenian Academy of Technology and the Arts,MA.7.DP.1.4,15,10,21.39,64.18,42.79
Central Florida Preparatory School,SCI.5.SC.5.P.11.1,19,10,38.44,81.16,42.72
Athenian Academy of Technology and the Arts,SS.7.CG.3.15,26,14,36.61,79.32,42.71
Athenian Academy of Technology and the Arts,SOC.6.SS.6.W.2.3,32,19,29.18,71.83,42.65
Central Florida Preparatory School,SS.912.A.5.2,2,1,42.65,85.29,42.64
Athenian Academy of Technology and the Arts,SS.6.G.1.6,34,19,33.64,76.25,42.61
Central Florida Preparatory School,MA.5.AR.2.3,2,1,42.42,84.85,42.43
Crestwell School,MA.4.GR.1,12,6,42.27,84.54,42.27
Athenian Academy of Technology and the Arts,MA.K.GR.1.3,9,4,52.74,94.93,42.19
Athenian Academy of Technology and the Arts,MA.7.MAFS.7.SP.3.7.a,2,1,42.19,84.38,42.19
Athenian Academy of Technology and the Arts,SS.7.E.2.5,46,28,27.02,69.04,42.02
Central Florida Preparatory School,MA.1.AR.2.1,4,2,41.75,83.49,41.74
Crestwell School,MA.3.NSO.2.1,41,22,36.05,77.79,41.74
Crestwell School,MA.4.NSO.2.2,23,12,37.96,79.37,41.41
Athenian Academy of Technology and the Arts,SOC.6.SS.6.W.2.9,69,38,33.76,75.15,41.39
Athenian Academy of Technology and the Arts,AI.MA.912.NSO.1.2,2,1,41.25,82.50,41.25
Central Florida Preparatory School,MA.2.AR.2.1,16,9,32.07,73.29,41.22
Crestwell School,MA.K.NSO.2.2,20,9,50.33,91.52,41.19
Athenian Academy of Technology and the Arts,SOC.8.SS.8.A.1.2,4,2,41.11,82.22,41.11
Crestwell School,MA.1.NSO.2.1,20,9,50.08,91.06,40.98
Central Florida Preparatory School,MA.5.FR.2.1,39,22,31.57,72.43,40.86
Athenian Academy of Technology and the Arts,MA.4.MAFS.4.NF.2.3.b,23,13,31.41,72.25,40.84
Athenian Academy of Technology and the Arts,SS.7.E.3.4,2,1,40.74,81.48,40.74
Crestwell School,MA.5.NSO.1.1,2,1,40.74,81.48,40.74
Central Florida Preparatory School,MA.1.AR.2.2,2,1,40.43,80.86,40.43
Athenian Academy of Technology and the Arts,SS.7.CG.2.10,29,14,43.30,83.71,40.41
Crestwell School,MA.2.AR.2.1,12,6,40.15,80.30,40.15
Athenian Academy of Technology and the Arts,MA.1.NSO.2,19,9,44.01,83.62,39.61
Crestwell School,MA.3.M.2.2,16,9,30.79,70.39,39.60
Crestwell School,MA.3.NSO.2.2,55,25,47.41,86.92,39.51
Athenian Academy of Technology and the Arts,MA.9-12.MAFS.912.A-REI.3.7,4,2,39.06,78.13,39.07
Athenian Academy of Technology and the Arts,MA.9-12.MAFS.912.A-REI.4.11,4,2,39.06,78.13,39.07
Central Florida Preparatory School,MA.4.FR.1.3,15,8,33.98,72.82,38.84
Central Florida Preparatory School,MA.3.AR.3.3,9,4,48.32,86.98,38.66
Crestwell School,MA.4.NSO.2.1,18,8,47.78,86.00,38.22
Athenian Academy of Technology and the Arts,MA.1.AR.2.1,30,14,43.33,81.25,37.92
Central Florida Preparatory School,SC.7.N.3.1,2,1,37.90,75.81,37.91
Crestwell School,MA.4.NSO.1.5,7,3,50.48,88.33,37.85
Central Florida Preparatory School,SCI.4.SC.4.L.17.1,8,4,37.83,75.66,37.83
Athenian Academy of Technology and the Arts,MA.912.DP.2.9,13,7,32.26,69.91,37.65
