school,schoology_standard,num_ukeys,missing_ukeys,shipped_pct,correct_pct,understated_pp
Athenian Academy of Technology and the Arts,MAFS.912.F-IF.3.8,10,3,53.14,75.92,22.78
Athenian Academy of Technology and the Arts,MA.3.NSO.2.3,61,16,64.02,86.78,22.76
Athenian Academy of Technology and the Arts,MA.3.AR.2.1,8,2,68.11,90.81,22.70
Crestwell School,MA.2.M.1.2,8,2,67.90,90.54,22.64
Central Florida Preparatory School,MA.7.AR.2.1,9,3,45.16,67.74,22.58
Athenian Academy of Technology and the Arts,MA.6.DP.1,51,15,54.17,76.74,22.57
Crestwell School,MA.1.AR.1.2,24,6,67.56,90.08,22.52
Central Florida Preparatory School,SCI.8.SC.8.P.8.5,7,2,56.19,78.67,22.48
Athenian Academy of Technology and the Arts,MA.3.MAFS.3.OA.1.1,12,3,67.36,89.82,22.46
Athenian Academy of Technology and the Arts,MA.912.F.1.8,23,7,51.28,73.71,22.43
Athenian Academy of Technology and the Arts,MAFS.912.S-ID.1.1,5,2,33.42,55.69,22.27
Athenian Academy of Technology and the Arts,MAFS.912.S-ID.1.2,5,2,33.42,55.69,22.27
Athenian Academy of Technology and the Arts,MA.3.AR.3.3,15,4,61.18,83.43,22.25
Central Florida Preparatory School,MA.912.GR.2.2,2,1,22.22,44.44,22.22
Central Florida Preparatory School,MA.912.GR.7.2,6,3,22.22,44.44,22.22
Athenian Academy of Technology and the Arts,MA.7.MAFS.7.RP.1.1,18,5,57.61,79.77,22.16
Central Florida Preparatory School,MA.912.GR.2.5,18,9,22.16,44.31,22.15
Athenian Academy of Technology and the Arts,SOC.8.SS.8.A.4.11,30,9,51.61,73.73,22.12
Athenian Academy of Technology and the Arts,AI.MA.912.AR.3.1,42,14,44.16,66.24,22.08
Athenian Academy of Technology and the Arts,AI.MA.912.FL.3.2,8,3,36.44,58.31,21.87
Athenian Academy of Technology and the Arts,MA.912.AR.3.6,32,11,41.68,63.50,21.82
Central Florida Preparatory School,SOC.9-12.SS.912.W.4.9,4,1,65.38,87.18,21.80
Athenian Academy of Technology and the Arts,MA.912.F.1.7,8,3,36.26,58.02,21.76
Athenian Academy of Technology and the Arts,SOC.8.SS.8.A.1.7,2,1,21.75,43.51,21.76
Athenian Academy of Technology and the Arts,MAFS.6.SP.1.3,16,4,65.11,86.81,21.70
Athenian Academy of Technology and the Arts,MA.4.NSO.2,83,22,59.81,81.38,21.57
Central Florida Preparatory School,MA.3.NSO.2.2,45,11,66.64,88.21,21.57
Athenian Academy of Technology and the Arts,MA.7.AR.4.1,17,4,70.11,91.68,21.57
Athenian Academy of Technology and the Arts,MA.6.AR.3.5,47,13,56.34,77.89,21.55
Athenian Academy of Technology and the Arts,MAFS.3.OA.1.3,9,2,75.33,96.85,21.52
Central Florida Preparatory School,MA.4.AR.3.1,19,6,46.50,67.96,21.46
Central Florida Preparatory School,MA.912.AR.6.5,8,3,35.74,57.19,21.45
Athenian Academy of Technology and the Arts,MAFS.3.MD.4.8,3,1,42.86,64.29,21.43
Central Florida Preparatory School,MA.5.NSO.2.3,17,5,51.38,72.79,21.41
Crestwell School,MA.K.NSO.1.2,21,5,68.33,89.68,21.35
Central Florida Preparatory School,MA.6.NSO.4.1,28,18,11.83,33.13,21.30
Athenian Academy of Technology and the Arts,MA.7.AR.3.2,52,14,57.72,78.98,21.26
Athenian Academy of Technology and the Arts,MA.1.NSO.1.1,72,19,59.30,80.56,21.26
Athenian Academy of Technology and the Arts,SCI.2.SC.2.E.7.2,6,2,42.50,63.75,21.25
Athenian Academy of Technology and the Arts,MA.9-12.MAFS.912.A-APR.1.1,10,3,49.11,70.16,21.05
Athenian Academy of Technology and the Arts,MA.7.MAFS.7.RP.1.2.a,41,11,57.40,78.45,21.05
Central Florida Preparatory School,MA.912.AR.3.4,13,9,9.35,30.39,21.04
Athenian Academy of Technology and the Arts,MA.6.MAFS.6.NS.2.3,24,6,62.99,83.98,20.99
Athenian Academy of Technology and the Arts,MA.1.AR.2.3,56,14,62.63,83.51,20.88
Athenian Academy of Technology and the Arts,MA.3.M.2.2,35,10,51.57,72.20,20.63
Athenian Academy of Technology and the Arts,MA.7.MAFS.7.G.2.4,8,2,61.76,82.35,20.59
Athenian Academy of Technology and the Arts,MA.912.F.2.3,14,4,51.45,72.03,20.58
Crestwell School,MA.2.M.1.3,9,2,71.89,92.42,20.53
Athenian Academy of Technology and the Arts,MA.6.AR.2.3,40,13,42.62,63.15,20.53
Athenian Academy of Technology and the Arts,MA.3.GR.1,37,9,63.82,84.33,20.51
Central Florida Preparatory School,MA.5.M.2.1,9,3,40.94,61.41,20.47
Athenian Academy of Technology and the Arts,MA.9-12.MAFS.912.F-BF.2.3,13,4,45.92,66.32,20.40
Athenian Academy of Technology and the Arts,MA.2.NSO.1.1,51,12,66.28,86.67,20.39
Central Florida Preparatory School,SCI.2.SC.2.P.13.2,9,2,71.14,91.46,20.32
Crestwell School,MA.3.FR.2.1,12,3,60.93,81.24,20.31
Athenian Academy of Technology and the Arts,MA.7.AR.2.1,49,15,45.99,66.28,20.29
Crestwell School,MA.4.AR.1.1,16,5,44.40,64.58,20.18
Central Florida Preparatory School,SOC.9-12.SS.912.A.7.5,7,2,50.42,70.59,20.17
Athenian Academy of Technology and the Arts,MAFS.7.SP.2.3,3,1,40.18,60.27,20.09
Crestwell School,MA.3.GR.1.3,9,2,70.17,90.22,20.05
Crestwell School,MA.3.NSO.1.3,5,2,30.00,50.00,20.00
Central Florida Preparatory School,AI.MA.912.AR.2.5,14,5,35.98,55.98,20.00
Crestwell School,MA.5.GR.1,11,3,53.03,72.92,19.89
Central Florida Preparatory School,SC.7.L.15.3,4,1,59.51,79.35,19.84
Athenian Academy of Technology and the Arts,MA.1.MAFS.1.NBT.1.1,8,2,59.32,79.10,19.78
Crestwell School,MA.3.M.1.1,4,1,59.26,79.01,19.75
Athenian Academy of Technology and the Arts,AI.MA.912.AR.4.1,6,2,39.46,59.19,19.73
Central Florida Preparatory School,ELA.5.R.2.4,4,1,59.01,78.68,19.67
Athenian Academy of Technology and the Arts,MA.1.DP.1.1,18,4,68.81,88.47,19.66
Athenian Academy of Technology and the Arts,SC.5.L.15.1,43,10,64.82,84.46,19.64
Athenian Academy of Technology and the Arts,AI.MA.912.F.1.2,20,5,58.44,77.92,19.48
Athenian Academy of Technology and the Arts,MA.912.AR.5.5,8,2,58.22,77.63,19.41
Athenian Academy of Technology and the Arts,MA.K.NSO.3.1,58,12,74.29,93.67,19.38
Central Florida Preparatory School,SC.912.N.3.5,16,4,57.68,76.91,19.23
Central Florida Preparatory School,SC.7.N.1.1,8,2,57.66,76.88,19.22
Central Florida Preparatory School,MA.4.GR.2.2,6,2,38.41,57.62,19.21
Athenian Academy of Technology and the Arts,MA.912.DP.1.2,6,2,38.40,57.60,19.20
Athenian Academy of Technology and the Arts,ELA.6.R.3.3,34,12,35.16,54.34,19.18
Athenian Academy of Technology and the Arts,MA.7.MAFS.7.G.2.6,8,2,57.41,76.54,19.13
Athenian Academy of Technology and the Arts,MA.4.NSO.2.1,26,6,63.57,82.64,19.07
Central Florida Preparatory School,MA.912.AR.2.2,7,4,14.29,33.33,19.04
Crestwell School,MA.1.GR.1.1,10,2,76.09,95.11,19.02
Crestwell School,MA.1.M.2.1,10,2,75.98,94.97,18.99
Central Florida Preparatory School,MA.2.M.1.1,22,5,64.53,83.52,18.99
Central Florida Preparatory School,MA.912.AR.1.4,5,2,28.48,47.46,18.98
Athenian Academy of Technology and the Arts,MA.6.NSO.1.4,18,6,37.95,56.92,18.97
Central Florida Preparatory School,AI.MA.912.AR.3.8,6,3,18.95,37.91,18.96
Athenian Academy of Technology and the Arts,MA.3.NSO.2.2,171,36,71.04,89.98,18.94
Central Florida Preparatory School,MA.5.GR.1,11,3,50.25,69.09,18.84
Athenian Academy of Technology and the Arts,MAFS.6.SP.1.2,8,2,56.49,75.32,18.83
Athenian Academy of Technology and the Arts,MA.6.AR.3.4,69,16,62.37,81.19,18.82
Central Florida Preparatory School,MA.912.AR.3.9,3,1,37.50,56.25,18.75
Athenian Academy of Technology and the Arts,MA.2.M.2.2,69,16,61.97,80.68,18.71
Central Florida Preparatory School,SCI.4.SC.4.L.17.3,8,2,55.98,74.64,18.66
Central Florida Preparatory School,MA.2.AR.3.1,8,2,55.67,74.22,18.55
Athenian Academy of Technology and the Arts,MA.3.M.2.1,28,8,46.13,64.59,18.46
Athenian Academy of Technology and the Arts,MA.1.NSO.2.3,34,9,50.96,69.31,18.35
Athenian Academy of Technology and the Arts,MA.1.AR.1.2,73,16,65.25,83.57,18.32
Athenian Academy of Technology and the Arts,MA.3.NSO.2.4,89,18,72.15,90.45,18.30
Central Florida Preparatory School,SC.912.E.5.6,18,5,47.53,65.81,18.28
Athenian Academy of Technology and the Arts,MA.4.DP.1.1,26,6,60.66,78.86,18.20
Central Florida Preparatory School,MA.6.GR.1.3,2,1,18.18,36.36,18.18
Crestwell School,ELA.4.R.1.1,32,8,54.45,72.61,18.16
Athenian Academy of Technology and the Arts,MA.6.NSO.2.1,46,10,65.36,83.52,18.16
Central Florida Preparatory School,SCI.9-12.SC.912.N.1.1.5,9,2,63.52,81.67,18.15
Central Florida Preparatory School,MA.912.GR.2.3,7,2,45.39,63.54,18.15
Crestwell School,MA.4.GR.2.2,4,1,54.41,72.55,18.14
Athenian Academy of Technology and the Arts,SOC.7.SS.7.C.4.2,8,2,54.41,72.55,18.14
Crestwell School,MA.K.NSO.1.1,40,8,72.44,90.56,18.12
Athenian Academy of Technology and the Arts,MA.2.MAFS.2.OA.1.1,9,2,63.40,81.52,18.12
Central Florida Preparatory School,MA.912.F.3.2,6,4,9.03,27.08,18.05
Athenian Academy of Technology and the Arts,MA.6.NSO.1.3,25,6,57.12,75.16,18.04
Central Florida Preparatory School,SC.6.N.3.4,11,3,47.58,65.43,17.85
Central Florida Preparatory School,SC.6.L.15.1,10,2,70.96,88.70,17.74
Athenian Academy of Technology and the Arts,MA.4.M.1.1,19,4,66.49,84.22,17.73
Central Florida Preparatory School,SCI.2.SC.2.P.13.4,9,2,61.91,79.59,17.68
Athenian Academy of Technology and the Arts,MA.6.GR.2.3,26,6,58.89,76.55,17.66
Athenian Academy of Technology and the Arts,MA.912.DP.1.3,20,4,70.63,88.29,17.66
Central Florida Preparatory School,SS.912.A.4.5,10,2,70.39,87.99,17.60
Central Florida Preparatory School,AI.MA.912.AR.2.6,7,3,23.41,40.97,17.56
Athenian Academy of Technology and the Arts,MA.6.GR.1.1,56,12,64.07,81.54,17.47
Central Florida Preparatory School,SC.7.P.11.1,22,4,78.58,96.04,17.46
Central Florida Preparatory School,MA.3.FR.2.1,12,3,52.34,69.79,17.45
Crestwell School,MA.K.AR.1.3,11,2,78.35,95.77,17.42
Athenian Academy of Technology and the Arts,MAFS.K.CC.2.5,31,6,72.50,89.90,17.40
Athenian Academy of Technology and the Arts,MA.2.AR.1.1,22,5,59.07,76.45,17.38
Central Florida Preparatory School,MA.3.GR.2.4,8,2,51.83,69.10,17.27
Central Florida Preparatory School,SC.912.P.10.1,18,4,60.35,77.59,17.24
Athenian Academy of Technology and the Arts,SOC.8.SS.8.A.1.5,7,2,42.94,60.12,17.18
Athenian Academy of Technology and the Arts,MA.5.AR.3.2,22,4,77.21,94.37,17.16
Athenian Academy of Technology and the Arts,MA.7.AR.4,62,14,58.75,75.89,17.14
Athenian Academy of Technology and the Arts,MA.3.GR.1.2,51,11,62.03,79.09,17.06
Central Florida Preparatory School,AI.MA.912.AR.1.3,16,4,50.89,67.86,16.97
Central Florida Preparatory School,SC.7.L.17.2,5,1,67.61,84.51,16.90
Athenian Academy of Technology and the Arts,MA.4.FR.1.4,52,11,62.99,79.88,16.89
Central Florida Preparatory School,AI.MA.912.AR.9.1,19,6,36.28,53.02,16.74
Central Florida Preparatory School,MA.912.AR.2.3,5,2,25.10,41.83,16.73
Central Florida Preparatory School,MA.1.NSO.2.2,57,11,69.93,86.65,16.72
Athenian Academy of Technology and the Arts,MA.6.AR.3.3,30,8,45.96,62.67,16.71
Central Florida Preparatory School,MA.3.GR.2.3,13,3,55.51,72.16,16.65
Crestwell School,MA.4.FR.2.2,10,2,66.20,82.75,16.55
Central Florida Preparatory School,MA.1.M.2.1,10,2,66.09,82.62,16.53
Crestwell School,ELA.5.V.1.3,24,5,62.78,79.30,16.52
Athenian Academy of Technology and the Arts,MA.6.MAFS.6.RP.1.3.d,16,3,71.31,87.76,16.45
Crestwell School,MA.K.AR.1.2,22,4,73.86,90.27,16.41
Crestwell School,ELA.4.R.1.4,5,1,65.62,82.02,16.40
Athenian Academy of Technology and the Arts,MA.1.AR.1.1,88,17,68.44,84.83,16.39
Athenian Academy of Technology and the Arts,SCI.8.SC.8.P.8.9,5,1,65.56,81.94,16.38
Athenian Academy of Technology and the Arts,MA.6.AR.1.2,15,4,44.87,61.19,16.32
Athenian Academy of Technology and the Arts,SOC.8.SS.8.A.4.12,38,9,52.53,68.84,16.31
Athenian Academy of Technology and the Arts,MA.2.NSO.2,209,43,62.85,79.13,16.28
Central Florida Preparatory School,SOC.9-12.SS.912.A.5.11,25,5,64.24,80.29,16.05
Athenian Academy of Technology and the Arts,SC.2.E.7.5,6,1,80.02,96.03,16.01
Central Florida Preparatory School,MA.912.AR.1.7,12,4,31.94,47.92,15.98
Athenian Academy of Technology and the Arts,MA.K.NSO.2.1,79,15,68.14,84.11,15.97
Athenian Academy of Technology and the Arts,MA.4.NSO.2.2,73,14,67.21,83.16,15.95
Athenian Academy of Technology and the Arts,MAFS.7.SP.1.2,4,1,47.47,63.30,15.83
Athenian Academy of Technology and the Arts,MA.2.M.1.1,83,15,71.32,87.05,15.73
Central Florida Preparatory School,MA.3.M.2.1,10,2,62.77,78.46,15.69
Athenian Academy of Technology and the Arts,MA.6.AR.2,68,17,46.79,62.38,15.59
Central Florida Preparatory School,SCI.7.SC.7.P.10.2,6,1,77.67,93.20,15.53
Athenian Academy of Technology and the Arts,MA.1.M.2.3,33,6,69.91,85.44,15.53
Athenian Academy of Technology and the Arts,MA.9-12.MAFS.912.A-REI.2.3,3,1,30.98,46.47,15.49
Crestwell School,MA.5.FR.2.1,29,7,48.66,64.14,15.48
Central Florida Preparatory School,MA.2.M.1.2,6,1,76.94,92.33,15.39
Athenian Academy of Technology and the Arts,MA.9-12.MAFS.912.A-REI.2.4.b,9,2,53.76,69.12,15.36
Athenian Academy of Technology and the Arts,SC.2.E.7.1,12,2,76.77,92.12,15.35
Crestwell School,MA.1.NSO.2.3,5,1,61.33,76.67,15.34
Athenian Academy of Technology and the Arts,MA.1.GR.1.1,51,9,71.37,86.66,15.29
Central Florida Preparatory School,MA.5.AR.2.2,6,1,75.16,90.19,15.03
Athenian Academy of Technology and the Arts,MA.912.F.2.1,24,5,57.07,72.09,15.02
Athenian Academy of Technology and the Arts,MA.4.MAFS.4.NBT.2.6,42,8,63.83,78.85,15.02
Central Florida Preparatory School,SCI.8.SC.8.N.3.1,16,3,65.04,80.05,15.01
Central Florida Preparatory School,MA.K12.MTR.7.1,21,5,47.99,62.99,15.00
Crestwell School,MA.3.GR.2.3,17,3,69.88,84.85,14.97
Athenian Academy of Technology and the Arts,MA.6.GR.1.2,42,8,63.22,78.10,14.88
Athenian Academy of Technology and the Arts,MA.6.MAFS.6.G.1.3,2,1,14.86,29.73,14.87
Athenian Academy of Technology and the Arts,MA.7.AR.3.1,69,16,49.22,64.08,14.86
Crestwell School,MA.5.NSO.1,6,1,74.07,88.89,14.82
Crestwell School,MA.4.GR.1.3,6,1,73.92,88.71,14.79
Athenian Academy of Technology and the Arts,MA.912.GR.4.5,12,2,73.92,88.71,14.79
Crestwell School,MA.5.AR.2.2,6,1,73.33,88.00,14.67
Crestwell School,ELA.8.R.1.1,11,2,65.94,80.60,14.66
Athenian Academy of Technology and the Arts,MA.9-12.MAFS.912.N-RN.1.2,9,2,50.69,65.18,14.49
Crestwell School,ELA.5.R.1.3,5,1,57.15,71.44,14.29
Central Florida Preparatory School,MA.7.AR.3.2,4,1,42.82,57.09,14.27
Central Florida Preparatory School,MA.3.AR.1.2,26,5,59.61,73.80,14.19
Athenian Academy of Technology and the Arts,MA.9-12.MAFS.912.A-CED.1.2,10,2,55.91,69.89,13.98
Athenian Academy of Technology and the Arts,MA.3.AR.3,25,4,73.19,87.13,13.94
Central Florida Preparatory School,SS.912.A.7.6,6,1,69.61,83.53,13.92
Athenian Academy of Technology and the Arts,MA.6.NSO.3.2,4,1,41.63,55.51,13.88
Athenian Academy of Technology and the Arts,MA.9-12.MAFS.912.A-REI.3.6,5,1,55.32,69.15,13.83
Athenian Academy of Technology and the Arts,ELA.K12.EE.2.1,50,8,72.35,86.13,13.78
Athenian Academy of Technology and the Arts,MA.2.MAFS.2.NBT.2.5,41,7,66.87,80.64,13.77
Central Florida Preparatory School,MA.5.NSO.1,6,1,68.63,82.36,13.73
Central Florida Preparatory School,SC.2.P.8.1,14,2,82.28,95.99,13.71
Crestwell School,MA.4.FR.2.4,12,2,68.33,82.00,13.67
Athenian Academy of Technology and the Arts,MA.2.NSO.2.1,36,6,68.12,81.74,13.62
Central Florida Preparatory School,SC.5.P.13.4,5,1,54.21,67.76,13.55
Central Florida Preparatory School,SC.912.E.5.2,5,1,53.67,67.08,13.41
Athenian Academy of Technology and the Arts,MA.6.GR.1.3,9,2,46.72,60.07,13.35
Athenian Academy of Technology and the Arts,MA.912.DP.3.1,8,2,39.95,53.26,13.31
Central Florida Preparatory School,G.MA.912.GR.1.3,29,6,50.99,64.29,13.30
Athenian Academy of Technology and the Arts,MA.5.M.1.1,22,4,59.62,72.87,13.25
Crestwell School,MA.K.NSO.3.1,36,5,82.13,95.38,13.25
Central Florida Preparatory School,MA.912.AR.2.1,16,5,29.17,42.42,13.25
Athenian Academy of Technology and the Arts,MA.2.AR.2.1,22,4,59.52,72.74,13.22
Athenian Academy of Technology and the Arts,MA.5.MAFS.5.NBT.2.5,13,2,72.69,85.91,13.22
Central Florida Preparatory School,MA.8.AR.2.2,14,3,48.30,61.47,13.17
Central Florida Preparatory School,SC.6.E.7.5,11,2,59.17,72.32,13.15
Athenian Academy of Technology and the Arts,MA.6.MAFS.6.NS.3.7.b,36,7,54.22,67.31,13.09
Athenian Academy of Technology and the Arts,MA.3.AR.2.3,14,2,78.46,91.53,13.07
Central Florida Preparatory School,AI.MA.912.AR.2.4,11,3,34.77,47.81,13.04
Athenian Academy of Technology and the Arts,ELA.8.R.2,62,11,60.01,72.95,12.94
Athenian Academy of Technology and the Arts,MA.5.NSO.2.1,26,4,70.96,83.86,12.90
Athenian Academy of Technology and the Arts,MA.3.GR.2.1,19,3,68.77,81.66,12.89
Athenian Academy of Technology and the Arts,MA.7.GR.2.3,27,4,74.00,86.87,12.87
Central Florida Preparatory School,SC.6.E.7.4,17,3,60.00,72.86,12.86
Athenian Academy of Technology and the Arts,MA.2.M.1.3,35,6,61.65,74.41,12.76
Athenian Academy of Technology and the Arts,MA.3.AR.1.2,118,18,70.93,83.69,12.76
Crestwell School,MA.3.AR.1.1,12,2,63.61,76.34,12.73
Central Florida Preparatory School,SC.7.E.6.5,17,3,59.13,71.80,12.67
Athenian Academy of Technology and the Arts,MA.5.GR.1,40,6,71.52,84.14,12.62
Athenian Academy of Technology and the Arts,MA.1.GR.1,15,2,81.65,94.21,12.56
Central Florida Preparatory School,MA.1.AR.1.1,20,3,70.77,83.26,12.49
Crestwell School,MA.K.AR.2.1,15,2,80.89,93.34,12.45
Athenian Academy of Technology and the Arts,SS.8.A.3.9,5,1,49.78,62.22,12.44
Athenian Academy of Technology and the Arts,MA.5.MAFS.5.NBT.1.4,7,1,74.64,87.08,12.44
Central Florida Preparatory School,SC.912.P.10.2,13,2,68.38,80.81,12.43
Athenian Academy of Technology and the Arts,MA.2.DP.1.1,43,6,75.55,87.81,12.26
Athenian Academy of Technology and the Arts,MA.5.NSO.1.5,14,2,73.23,85.43,12.20
Athenian Academy of Technology and the Arts,MA.912.DP.1.1,9,2,42.34,54.44,12.10
Athenian Academy of Technology and the Arts,MA.5.GR.3,51,7,75.60,87.63,12.03
Crestwell School,MA.3.FR.1.3,7,1,71.60,83.54,11.94
Athenian Academy of Technology and the Arts,ELA.8.R.1.1,153,23,67.14,79.02,11.88
Athenian Academy of Technology and the Arts,MA.912.DP.2.1,8,2,35.42,47.23,11.81
Crestwell School,MA.5.FR.2.2,12,2,58.95,70.74,11.79
Crestwell School,MA.3.M.2.1,7,1,70.63,82.41,11.78
Central Florida Preparatory School,SCI.7.SC.7.L.15.1,15,2,76.54,88.31,11.77
Central Florida Preparatory School,MA.3.GR.2.1,6,1,58.80,70.56,11.76
Central Florida Preparatory School,AI.MA.912.AR.3.1,22,10,14.05,25.75,11.70
Central Florida Preparatory School,MA.3.FR.1.3,7,1,69.97,81.64,11.67
Athenian Academy of Technology and the Arts,MA.912.AR.2.8,10,2,46.08,57.60,11.52
Athenian Academy of Technology and the Arts,ELA.3.R.1.3,48,7,67.41,78.92,11.51
Athenian Academy of Technology and the Arts,MA.2.AR.2.2,77,12,61.93,73.37,11.44
Athenian Academy of Technology and the Arts,MA.912.AR.1.7,36,5,70.90,82.34,11.44
Central Florida Preparatory School,SC.6.E.7.3,13,2,62.73,74.14,11.41
Athenian Academy of Technology and the Arts,MA.6.NSO.2.3,58,10,54.56,65.93,11.37
Crestwell School,MA.4.NSO.2.7,7,1,67.62,78.89,11.27
Central Florida Preparatory School,SOC.6.SS.6.W.4.11,6,1,56.22,67.47,11.25
Athenian Academy of Technology and the Arts,SOC.7.SS.7.C.3.14,20,3,63.69,74.93,11.24
Athenian Academy of Technology and the Arts,MA.6.AR.1.3,22,4,50.41,61.61,11.20
Athenian Academy of Technology and the Arts,SOC.7.SS.7.C.3.11,6,1,55.89,67.07,11.18
Athenian Academy of Technology and the Arts,MAFS.6.NS.3.5,8,1,77.50,88.57,11.07
Athenian Academy of Technology and the Arts,MA.K.AR.1.2,41,5,79.60,90.66,11.06
Athenian Academy of Technology and the Arts,MA.K.GR.1.1,57,7,78.17,89.11,10.94
Crestwell School,MA.3.GR.2.4,14,2,65.55,76.48,10.93
Athenian Academy of Technology and the Arts,MA.1.NSO.1.3,22,3,68.63,79.47,10.84
Central Florida Preparatory School,MA.4.NSO.2.5,16,3,46.93,57.76,10.83
Athenian Academy of Technology and the Arts,ELA.5.R.2.4,31,4,73.14,83.97,10.83
Athenian Academy of Technology and the Arts,MA.2.DP.1.2,49,6,77.56,88.38,10.82
Athenian Academy of Technology and the Arts,MA.K.AR.1.3,34,4,80.69,91.45,10.76
Athenian Academy of Technology and the Arts,MA.7.AR.4.5,22,3,67.94,78.67,10.73
Athenian Academy of Technology and the Arts,MA.3.GR.2.2,21,3,64.34,75.06,10.72
Central Florida Preparatory School,MA.912.AR.3.2,7,3,14.29,25.00,10.71
Athenian Academy of Technology and the Arts,MA.4.GR.2.1,55,8,62.84,73.53,10.69
Central Florida Preparatory School,ELA.9.V.1.2,6,1,52.76,63.32,10.56
Central Florida Preparatory School,MA.3.NSO.2.1,15,3,41.89,52.37,10.48
Central Florida Preparatory School,SCI.8.SC.8.P.8.3,7,1,62.59,73.02,10.43
Athenian Academy of Technology and the Arts,MAFS.912.S-ID.2.5,4,1,30.94,41.25,10.31
Crestwell School,MA.4.AR.1.3,12,2,51.48,61.78,10.30
Crestwell School,MA.3.GR.2.1,8,1,71.02,81.17,10.15
Athenian Academy of Technology and the Arts,MAFS.912.A-CED.1.1,6,1,50.71,60.85,10.14
Central Florida Preparatory School,MA.4.NSO.2,26,4,55.62,65.74,10.12
Athenian Academy of Technology and the Arts,MA.3.AR.1.1,23,3,67.30,77.40,10.10
Athenian Academy of Technology and the Arts,ELA.8.R.2.1,116,16,63.06,73.15,10.09
Athenian Academy of Technology and the Arts,AI.MA.912.AR.5.4,6,1,50.42,60.51,10.09
Central Florida Preparatory School,ELA.4.R.2.4,6,1,50.38,60.46,10.08
Central Florida Preparatory School,SC.8.N.1.1,7,1,60.42,70.49,10.07
Crestwell School,MA.4.AR.1.2,9,1,80.41,90.46,10.05
Central Florida Preparatory School,MA.3.AR.1.1,13,2,55.20,65.24,10.04
Crestwell School,MA.5.AR.1.2,14,2,59.61,69.55,9.94
Central Florida Preparatory School,SS.912.W.6.4,17,2,74.30,84.21,9.91
Crestwell School,SC.4.N.1.4,6,1,49.15,58.98,9.83
Crestwell School,ELA.5.R.3.1,10,2,39.31,49.13,9.82
Central Florida Preparatory School,AI.MA.912.F.1.2,6,1,48.97,58.77,9.80
Central Florida Preparatory School,SC.8.P.8.2,9,1,77.04,86.67,9.63
Central Florida Preparatory School,SCI.7.SC.7.L.16.1,25,3,70.47,80.08,9.61
Athenian Academy of Technology and the Arts,ELA.6.R.2.3,67,9,61.80,71.39,9.59
Athenian Academy of Technology and the Arts,MA.3.GR.2.3,67,8,70.55,80.12,9.57
Athenian Academy of Technology and the Arts,ELA.7.R.3.3,31,4,64.34,73.87,9.53
Central Florida Preparatory School,ELA.3.R.2.1,53,7,62.54,72.06,9.52
Central Florida Preparatory School,MA.2.M.1.3,8,1,65.99,75.42,9.43
Athenian Academy of Technology and the Arts,ELA.4.R.1.3,18,2,75.26,84.67,9.41
Athenian Academy of Technology and the Arts,MA.5.NSO.2.4,130,15,71.89,81.27,9.38
Central Florida Preparatory School,SCI.9-12.SC.912.N.1.2,31,4,63.16,72.51,9.35
Athenian Academy of Technology and the Arts,MA.4.FR.2.4,38,4,79.47,88.82,9.35
Athenian Academy of Technology and the Arts,ELA.7.R.3.4,32,4,64.53,73.75,9.22
Athenian Academy of Technology and the Arts,ELA.6.R.2.4,45,6,59.81,69.01,9.20
Central Florida Preparatory School,SC.7.L.15.2,10,1,82.73,91.92,9.19
Athenian Academy of Technology and the Arts,MA.5.AR.1.1,5,1,36.74,45.92,9.18
Athenian Academy of Technology and the Arts,ELA.7.R.2,62,8,61.82,70.98,9.16
Athenian Academy of Technology and the Arts,MA.7.GR.1,64,8,64.13,73.29,9.16
Athenian Academy of Technology and the Arts,ELA.6.R.1.1,123,16,60.29,69.31,9.02
Central Florida Preparatory School,SC.8.P.8.1,10,1,80.83,89.81,8.98
Crestwell School,SCI.4.SC.4.P.10.3,6,1,43.89,52.67,8.78
Central Florida Preparatory School,MA.5.GR.2.1,16,2,61.19,69.94,8.75
Athenian Academy of Technology and the Arts,MA.7.DP.1.3,8,1,61.18,69.92,8.74
Athenian Academy of Technology and the Arts,MA.2.MAFS.2.OA.2.2,18,2,69.95,78.69,8.74
Central Florida Preparatory School,MA.8.NSO.1.1,8,1,60.77,69.45,8.68
Crestwell School,MA.K.NSO.2.1,20,2,77.71,86.35,8.64
Crestwell School,MA.2.M.2.2,17,2,64.76,73.40,8.64
Crestwell School,ELA.4.C.3.1,142,16,67.64,76.23,8.59
Athenian Academy of Technology and the Arts,MA.1.GR.1.3,62,6,79.72,88.26,8.54
Athenian Academy of Technology and the Arts,ELA.8.R.3.1,43,5,64.51,73.00,8.49
Athenian Academy of Technology and the Arts,MA.4.MAFS.4.NBT.2.5,37,4,69.82,78.29,8.47
Athenian Academy of Technology and the Arts,MA.6.NSO.1.1,51,6,63.56,72.03,8.47
Crestwell School,MA.3.M.1.2,10,1,75.28,83.64,8.36
Athenian Academy of Technology and the Arts,MA.2.MAFS.2.MD.3.8.b,10,1,74.96,83.29,8.33
Athenian Academy of Technology and the Arts,SCI.2.SC.2.N.1.5,9,1,66.36,74.66,8.30
Athenian Academy of Technology and the Arts,MA.1.NSO.1.2,21,2,78.89,87.19,8.30
Athenian Academy of Technology and the Arts,MA.3.MAFS.3.NBT.1.2,30,3,74.34,82.60,8.26
Athenian Academy of Technology and the Arts,MA.3.FR.1.3,21,2,78.17,86.40,8.23
