check_name,school_id,subject_id,item_id,drift_type,cube_students,fact_students,cube_questions,fact_questions,cube_standards,fact_standards,cube_score,fact_score,cube_possible,fact_possible,cube_avg,fact_avg
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,69f84f043bcac55206c6b1c01aa2835e2dd1fab62ee36b8903b4f27cba8813d7,7625528258,MISSING_FROM_CUBE,,18,,5,,0,,75.0000,,90.0000,,0.833333
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,7f89cc611e5d6b8a4772e76b726afa45668f5f3edb1a668746967c7cc7c0db0f,7334679341,MISSING_FROM_CUBE,,16,,13,,6,,158.0000,,223.0000,,0.708520
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,7f89cc611e5d6b8a4772e76b726afa45668f5f3edb1a668746967c7cc7c0db0f,,VALUE_DRIFT,36,52,26,39,6,6,370.0000,528.0000,503.0000,726.0000,0.735586,0.727273
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,253cf1d595e25c76b7c0f8df69e24fc5920a0b1e07f73512a6caddc19a6d5403,7702561239,MISSING_FROM_CUBE,,19,,19,,3,,334.0000,,361.0000,,0.925208
cube_school_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,07c8e49d5072074c54cfbdb917a6910defa630b9401691850e4426bd67b5f44e,7997342490,VALUE_DRIFT,19,20,20,20,4,4,326.0000,331.0000,410.0000,432.0000,0.795122,0.766204
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,685d58d64f3e9df29c19cb3cd82479a5d13aab49c93aae4f3703a64cfdb9120c,,VALUE_DRIFT,42,62,42,63,5,5,1610.9996,2250.3330,1842.0000,2716.0000,0.874593,0.828547
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,ab9ccf412f84fd6481413b961c8dd491767e0de24845aff4a588d3a793dff593,,VALUE_DRIFT,18,37,7,14,0,0,98.0000,184.0000,126.0000,259.0000,0.777778,0.710425
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,3b783afe7d3956fcd19dafa6ad0feececa7b2cabcb31a0ed68daef9b10db5377,7702555934,MISSING_FROM_CUBE,,20,,20,,3,,516.0000,,618.0000,,0.834951
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,d33b643b72c6fcb9297c4b32a1e450cd6c75ea742c06b872b9a3a2d4783cde75,7615829935,MISSING_FROM_CUBE,,21,,5,,0,,79.0008,,147.0000,,0.537420
cube_school_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,11d010f3e565dca081e3c19cbbf530a3f75c786e02bf3cc53c9c1f3b2fdbbbf1,,VALUE_DRIFT,20,37,20,40,2,2,280.0000,498.0000,400.0000,740.0000,0.700000,0.672973
