class,school_name,entity_id,entity_name,fact_label,dim_label,students,fact_rows
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,bd098359ce0318bb3a177b93aae2f20935f7c869530443b2c511cabb80569846,Inspired by Nature Unit Test,ELA / Grade 7 / 2024-25 / Lesson  Assessments,,1,52
dim_subject_without_dim_item,Central Florida Preparatory School,38fa194a54c74486c22b4a1780e7e842c68aaa132a5237641c20f03eef8ab063,Topic 8,HS Algebra I / Higher-Ed / 2025-26 / topic,,1,33
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,85e6602009435ef89f61b7b384216b352a250b69d159a2b4b2002dada6759a49,Chapter 14,Math / Grade 1 / 2024-25 / Lesson  Assessments,,1,19
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,e93f836775458de9c65b5631901b73431a6fe43315a5aa090f429f05f53811b6,Chapter 12,Math / Grade K / 2024-25 / Assessments,,2,9
fact_null_section,Athenian Academy of Technology and the Arts,7797157446,The Fight for Freedom Unit Test,ELA / Grade 8 / 2024-25,,18,935
fact_null_section,Crestwell School,7998804188,"Chapter 18 Test: Collect, Represent, and Interpret Data",Math / Grade 5 / 2025-26,,30,627
fact_null_section,Athenian Academy of Technology and the Arts,7338399356,Unit 1 Benchmark Test: Investigating Questions,Science / Grade 3 / 2024-25,,20,460
fact_null_section,Athenian Academy of Technology and the Arts,7799452545,Unit 10 Benchmark Test: Life Cycles and Growth,Science / Grade 4 / 2024-25,,20,400
fact_null_section,Athenian Academy of Technology and the Arts,7334741824,Module Assessment: Stories on Stage,ELA / Grade 3 / 2024-25,,18,396
fact_null_section,Crestwell School,7998804147,Chapter 15 Test: Volume,Math / Grade 5 / 2025-26,,13,336
fact_null_section,Crestwell School,7998804135,Chapter 14 Test: Classify Two-Dimensional and Three-Dimensional Figures,Math / Grade 5 / 2025-26,,13,285
fact_null_section,Crestwell School,8134559640,Chapter 8 Test: Add and Subtract Fractions with Unlike Denominators,Math / Grade 5 / 2025-26,,3,58
fact_null_section,Crestwell School,7998804173,Chapter 17 Test: Graphs and Patterns,Math / Grade 5 / 2025-26,,1,23
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7622185498:2087541684,M4W2 Vocabulary Quiz,ELA / Grade 5 / 2024-25,,20,180
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7892360959:2156299043,Unit: 3 Civilization in India and China,History / Grade 6 / 2025-26,,34,34
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7338323403:2018710339,Unit: 3 Civilization in India and China,History / Grade 6 / 2024-25,,29,29
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7629339742:2089691982,Plant Needs 'Genius Challenge',Science / Grade 1 / 2024-25,,19,19
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7629339742:2089691978,Plant Needs 'Genius Challenge',Science / Grade 1 / 2024-25,,19,19
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7629339742:2089691979,Plant Needs 'Genius Challenge',Science / Grade 1 / 2024-25,,19,19
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7629339742:2089691980,Plant Needs 'Genius Challenge',Science / Grade 1 / 2024-25,,19,19
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7629339742:2089691981,Plant Needs 'Genius Challenge',Science / Grade 1 / 2024-25,,19,19
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7629339742:2089691983,Plant Needs 'Genius Challenge',Science / Grade 1 / 2024-25,,19,19
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7629339742:2089691984,Plant Needs 'Genius Challenge',Science / Grade 1 / 2024-25,,19,19
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7669808106:2104518886,Chapter 5 Test,Algebra / Grade 8 / 2024-25,,19,19
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,8029075718:2192554434,Module 2 Test,Math / Grade 6 / 2025-26,,19,19
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7627000905:2088934374,Comparing Numbers Review HW,Math / Grade 1 / 2024-25,,18,18
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7627000905:2088934373,Comparing Numbers Review HW,Math / Grade 1 / 2024-25,,18,18
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7893463050:2156469249,Module 2 Test,Math / Grade 6 / 2025-26,,18,18
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7627000905:2088934380,Comparing Numbers Review HW,Math / Grade 1 / 2024-25,,18,18
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7627000905:2088934379,Comparing Numbers Review HW,Math / Grade 1 / 2024-25,,18,18
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7627000905:2088934378,Comparing Numbers Review HW,Math / Grade 1 / 2024-25,,18,18
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7627000905:2088934377,Comparing Numbers Review HW,Math / Grade 1 / 2024-25,,18,18
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7627000905:2088934376,Comparing Numbers Review HW,Math / Grade 1 / 2024-25,,18,18
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7627000905:2088934375,Comparing Numbers Review HW,Math / Grade 1 / 2024-25,,18,18
