school_name,item_id,fact_name,dim_item_name,fact_rows
Athenian Academy of Technology and the Arts,7334739781,Module Assessment: Use Your Words,Module Assessment: Use Your Words - 10/21/24,414
Athenian Academy of Technology and the Arts,7338399395,Unit 4 Benchmark Test: Properties of Matter,Unit 4 Benchmark Test: Properties of Matter - 10/30/24,460
Athenian Academy of Technology and the Arts,7338399397,Unit 6 Benchmark Test: Heat Sources,Unit 6 Benchmark Test: Heat Sources - 12/12/24,440
Athenian Academy of Technology and the Arts,8112140343,Chapter 16.1,Chapter 16 Part 1,352
Athenian Academy of Technology and the Arts,8112622324,Chapter 16 Part 1,Chapter 16.1,16
Central Florida Preparatory School,8159775714,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1 12/18,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1,153
Central Florida Preparatory School,8201010981,Heroic Feats: Weekly Assessment: Module 4 Week 2,M4 W2 Heroic Feats: Weekly Assessment: Module 4 Week 2,160
Central Florida Preparatory School,8330846316,M6W1 Weekly Assessment: Marvels of Nature:,Marvels of Nature: Mod 6 Weekly Assessment: Week 1,119
