school_name,session,standard,fact_rows,items,students,item_examples,dim_std_schoology_match,raw_source_rows,classification_note
Central Florida Preparatory School,2025-26,ELA.6.RL.6.4.2,100,2,38,8352493441 :: Unit 4 Part 1 | 8352493877 :: Unit 4 Part 1,0,34,code appears verbatim in Schoology Question-Data CSV; not synthesized by our pipeline; missing alias row in dim_standard seed
Central Florida Preparatory School,2025-26,ELA.6.V.3.4,54,2,38,8352493441 :: Unit 4 Part 1 | 8352493877 :: Unit 4 Part 1,0,16,code appears verbatim in Schoology Question-Data CSV; not synthesized by our pipeline; missing alias row in dim_standard seed
Athenian Academy of Technology and the Arts,2024-25,MA.5.MACC.5.NBT.1.3.b,40,2,40,7337978776 :: Chapter 3 | 7337979059 :: Chapter 3,0,9,code appears verbatim in Schoology Question-Data CSV; not synthesized by our pipeline; missing alias row in dim_standard seed
Central Florida Preparatory School,2024-25,LA.2.LA.2.1.7.4,39,1,13,7806926683 :: Home Sweet Habitat: Weekly Assessment: Week 1,0,12,code appears verbatim in Schoology Question-Data CSV; not synthesized by our pipeline; missing alias row in dim_standard seed
Central Florida Preparatory School,2025-26,SOC.H.PreK-K.1,17,1,17,8273780092 :: Topic 6: The Great Depression and the New Deal (1928-1941),0,6,code appears verbatim in Schoology Question-Data CSV; not synthesized by our pipeline; missing alias row in dim_standard seed
Central Florida Preparatory School,2024-25,LA.2.LA.2.1.6.3,14,1,13,7806926683 :: Home Sweet Habitat: Weekly Assessment: Week 1,0,5,code appears verbatim in Schoology Question-Data CSV; not synthesized by our pipeline; missing alias row in dim_standard seed
